issue_id,issue_number,title,state,created_date,closed_date,contributors
I_kwDOAbrxp862FSVX,51235,Text style prop 'writingDirection' not working on IOS New Architecture,OPEN,2025-05-11T08:45:57Z,,
I_kwDOAbrxp86wxNeb,50444,KeyboardAvoidingView doesn’t reset properly after closing the keyboard in landscape mode,OPEN,2025-04-02T08:56:57Z,,
I_kwDOAbrxp86QzTKW,45661,RTL Layout Direction Not Updating after app reload with New React Native Architecture,CLOSED,2024-07-25T08:33:13Z,2025-02-25T15:23:43Z,
MDU6SXNzdWU2MTgxNTA2MTc=,28894,Touchables translated into view are not pressable on android,CLOSED,2020-05-14T11:25:40Z,2024-08-03T05:13:22Z,
I_kwDOAbrxp862FdAT,51236,Gradle Build Fails: Could not find com.facebook.react:react-native-gradle-plugin:0.72.0,CLOSED,2025-05-11T10:11:06Z,2025-05-11T10:11:20Z,
I_kwDOAbrxp861t9NE,51193,`borderTopEndRadius` and `borderBottomEndRadius` behave inconsistently on Android in RTL,OPEN,2025-05-08T11:38:02Z,,
I_kwDOAbrxp86ZSakU,46875,"Transform (scale, rotate and skew) not working correctly on Android 8.1 and below!",OPEN,2024-10-07T23:47:09Z,,
I_kwDOAbrxp85FGWpB,33229,Android ScrollView touch event maynot be fired,CLOSED,2022-03-04T06:25:06Z,2025-05-11T05:01:14Z,
MDU6SXNzdWU3NzcwMDYzNjE=,30666,Placeholder's TextInput breaking lines after change on Android,OPEN,2020-12-31T13:47:28Z,,
I_kwDOAbrxp86ySIWd,50683,Missing Semicolon in node-modules/react-native/index.js at line 313,CLOSED,2025-04-13T07:13:37Z,2025-04-23T17:58:04Z,
I_kwDOAbrxp86zFRXl,50800,Can't access View from reactTag on iOS (New Architecture),CLOSED,2025-04-18T09:10:17Z,2025-04-30T09:50:16Z,
I_kwDOAbrxp86t15CY,50005,"""SurfaceRegistryBinding::startSurface failed. Global was not installed"". Getting this error on yarn android",CLOSED,2025-03-13T10:09:35Z,2025-03-21T17:36:50Z,
I_kwDOAbrxp86xZ1QU,50513,☂️ Help us Kotlin-ify React Native - Round 3,OPEN,2025-04-07T10:07:38Z,,
I_kwDOAbrxp86cr1fl,47352,[0.76] Project with custom C++ code - Crashes with `EarlyJsError: TurboModuleRegistry.getEnforcing(...): 'PlatformConstants' could not be found. Verify that a module by this name is registered in the native binary`,CLOSED,2024-11-01T10:02:58Z,2024-11-05T11:33:06Z,
I_kwDOAbrxp86yPrGU,50676,components that blink in the presence of a scrollcomponents that blink in the presence of a scroll : ios,OPEN,2025-04-12T12:39:23Z,,
I_kwDOAbrxp86xhA3X,50537,React Native 0.78 AppDelegate.Swift to AppDelegate.mm Migration,OPEN,2025-04-07T23:36:12Z,,
I_kwDOAbrxp86uUvTB,50052,should explicitly declare type:commonjs since Node experimental-detect-module is on by default,OPEN,2025-03-17T11:09:19Z,,
I_kwDOAbrxp86oQTR9,49077,Unable to find viewState for tag 56. Surface stopped: false,OPEN,2025-01-31T09:12:01Z,,
I_kwDOAbrxp86xVy0J,50510,fetch  [TypeError: Network request failed] on iOS 18.4,OPEN,2025-04-06T22:32:19Z,,
MDU6SXNzdWU5NjA5ODAyMTY=,31955,Nested View and Text vertical alignment issue.,OPEN,2021-08-04T20:11:56Z,,
I_kwDOAbrxp86079Yh,51072,TextInput does not blur in Android 8.1 with react native 0.79+,OPEN,2025-05-02T09:46:29Z,,
I_kwDOAbrxp860_pza,51083,[iOS] Settings no longer handles setting key to `null`,OPEN,2025-05-02T18:21:45Z,,
I_kwDOAbrxp861CgDK,51086,[iOS] useWindowDimensions width and height remain same in landscape after rotating to portrait and unlocking device,CLOSED,2025-05-03T10:39:18Z,2025-05-09T14:15:06Z,
I_kwDOAbrxp86vOd2q,50200,Yoga Layout Assertion Failure After Upgrading to React Native 0.78,OPEN,2025-03-21T06:43:27Z,,
I_kwDOAbrxp86sMeZv,49759,`KeyboardAvoidingView` do not keep input in view under Android 15 (target SDK 35),OPEN,2025-03-01T14:49:41Z,,
I_kwDOAbrxp8615P8g,51212,[iOS][interoplayer] not handling adding children correctly,OPEN,2025-05-09T10:06:32Z,,
I_kwDOAbrxp861yHjX,51199,Debugger Steps Through Ignored Files,OPEN,2025-05-08T18:46:05Z,,
I_kwDOAbrxp853dLcQ,41580,Failed to apply plugin 'com.facebook.react',CLOSED,2023-11-21T12:09:16Z,2023-11-22T15:44:16Z,
I_kwDOAbrxp8610GDz,51205,panResponder inside ScrollView on Android behaves differently than iOS. Android can't scroll.,OPEN,2025-05-08T23:18:05Z,,
I_kwDOAbrxp860nfJ9,51010,Can RCTViewComponentView get access RCTBridge's bundleURL or launchOptions property?,OPEN,2025-04-30T06:16:52Z,,
I_kwDOAbrxp86wv8YL,50442,Modal's children are rendered in the top left corner for the first few frames when it's opened (Android),OPEN,2025-04-02T06:50:52Z,,
I_kwDOAbrxp86eiVhX,47617,LayoutAnimation.configureNext() broken in 0.76,OPEN,2024-11-14T19:16:11Z,,
I_kwDOAbrxp861msYl,51169,Brand new project fails to build React-hermes,OPEN,2025-05-07T18:21:08Z,,
I_kwDOAbrxp85pkq42,38036,IOS: Random crash when focus text input,CLOSED,2023-06-23T10:31:24Z,2023-07-25T05:13:06Z,
I_kwDOAbrxp861itT9,51154,React native 0.77 iOS  - Invalid Swift Support - The SwiftSupport folder is missing,OPEN,2025-05-07T12:17:34Z,,
I_kwDOAbrxp861xRov,51198,"Non-asset images, e.g. loaded remotely using `uri`, can cause memory not to be released when the Image component is unmounted",OPEN,2025-05-08T16:59:39Z,,
I_kwDOAbrxp86yJIa1,50661,Translation file missing error it.json in React Native Debugger,CLOSED,2025-04-11T13:50:50Z,2025-05-09T07:51:17Z,
I_kwDOAbrxp86nnm4c,48956,React Native App crashes after changing the bundle location,CLOSED,2025-01-27T06:22:49Z,2025-01-27T06:23:02Z,
I_kwDOAbrxp86uUJdE,50051,Heavy Screens take too much time to load (White Screen lag).,OPEN,2025-03-17T10:16:30Z,,
I_kwDOAbrxp86wy30f,50451,Custom Animations in Modal Fail to Display in React StrictMode,CLOSED,2025-04-02T11:47:52Z,2025-05-09T05:01:24Z,
I_kwDOAbrxp85m9_bd,37592,ImageComponent - Characters truncated if image name contains '#',CLOSED,2023-05-26T12:22:59Z,2025-05-09T05:01:24Z,
I_kwDOAbrxp86xVm6O,50508,"dlopen failed: library ""libreact_featureflagsjni.so"" not found",CLOSED,2025-04-06T21:00:48Z,2025-05-09T05:01:22Z,
I_kwDOAbrxp858ioIp,42374,React Native Fetch Api Cause Memory Leak,OPEN,2024-01-19T02:48:59Z,,
I_kwDOAbrxp85EbuhH,33165,TextInput multiline is jumpy and flaky when pressing new line,OPEN,2022-02-23T13:48:38Z,,
I_kwDOAbrxp861hRnZ,51150,iOS Dimensions.get('window') doesn't exclude SafeAreas,OPEN,2025-05-07T09:48:29Z,,
I_kwDOAbrxp850LGJc,41045,iOS build error: Import of module 'glog.glog.log_severity' appears within namespace 'google',CLOSED,2023-10-18T07:38:10Z,2023-10-24T13:35:50Z,
I_kwDOAbrxp861ye4H,51200,Different behavior: panResponder inside ScrollView on Android vs. iOS. Android can't scroll.,CLOSED,2025-05-08T19:30:42Z,2025-05-08T19:30:59Z,
I_kwDOAbrxp85iJgA6,36710,Touchable components stop responding randomly,CLOSED,2023-03-29T23:04:55Z,2024-03-21T09:54:10Z,
I_kwDOAbrxp86xMgau,50496,Android - Animated.event useNativeDriver:true sets incorrect translate position when moving fast,OPEN,2025-04-04T16:13:53Z,,
I_kwDOAbrxp861EjyS,51090,"Images loaded from PHAsset, i.e. with ph:// uri, cause large memory leaks in New Architecture",CLOSED,2025-05-04T08:56:04Z,2025-05-04T16:54:19Z,
