pr_number,created_date,time_to_first_review_sec,time_to_approval_sec,time_to_merge_sec,was_merged
63408,2025-10-31T21:19:57Z,38,0,0,1
63406,2025-10-31T19:32:43Z,4529,2755,0,1
63405,2025-10-31T18:28:23Z,2998,0,2242,1
63404,2025-10-31T18:02:37Z,147,0,0,1
63403,2025-10-31T18:01:17Z,148,0,0,1
63402,2025-10-31T17:59:41Z,148,0,0,1
63400,2025-10-31T17:58:08Z,,,,0
63399,2025-10-31T17:57:35Z,149,0,0,1
63395,2025-10-31T17:55:03Z,1518,0,1082,1
63394,2025-10-31T17:54:36Z,151,0,0,1
63393,2025-10-31T17:53:24Z,151,0,0,1
63392,2025-10-31T17:51:34Z,153,0,0,1
63391,2025-10-31T17:39:52Z,,,,0
63390,2025-10-31T17:39:51Z,112,0,0,1
63385,2025-10-31T17:21:19Z,130,0,0,1
63383,2025-10-31T16:56:56Z,154,0,0,1
63382,2025-10-31T16:55:21Z,154,0,0,1
63381,2025-10-31T16:53:56Z,154,0,0,1
63380,2025-10-31T16:52:21Z,155,0,0,1
63379,2025-10-31T16:50:43Z,156,0,0,1
63377,2025-10-31T16:49:13Z,156,0,0,1
63376,2025-10-31T16:48:01Z,156,0,0,1
63374,2025-10-31T16:46:22Z,157,0,0,1
63367,2025-10-31T15:56:31Z,,,,0
63366,2025-10-31T15:15:27Z,121,0,0,1
63365,2025-10-31T13:36:44Z,,,,0
63364,2025-10-31T13:28:37Z,4,,,0
63363,2025-10-31T13:19:54Z,9,0,28,1
63362,2025-10-31T12:52:25Z,37,0,31,1
63361,2025-10-31T11:42:35Z,,,,0
63360,2025-10-31T10:54:21Z,,,,0
63357,2025-10-31T08:42:03Z,18,0,31,1
63356,2025-10-31T07:27:33Z,233,0,0,1
63355,2025-10-31T07:00:27Z,,,,0
63354,2025-10-31T06:13:12Z,,,,0
63353,2025-10-30T23:15:51Z,0,0,30,1
63352,2025-10-30T22:20:43Z,,,,0
63349,2025-10-30T21:58:21Z,642,1892,2,1
63348,2025-10-30T21:55:54Z,,,,0
63347,2025-10-30T21:44:17Z,,,,0
63346,2025-10-30T21:36:32Z,691,0,0,1
63344,2025-10-30T21:34:22Z,694,0,0,1
63343,2025-10-30T21:34:03Z,696,0,1,1
63341,2025-10-30T21:32:05Z,700,0,0,1
63338,2025-10-30T21:26:28Z,708,0,0,1
63337,2025-10-30T21:24:29Z,711,0,0,1
63334,2025-10-30T21:19:34Z,717,0,0,1
63332,2025-10-30T21:11:48Z,1252,0,46,1
63331,2025-10-30T21:01:52Z,736,0,0,1
63328,2025-10-30T17:48:19Z,15942,0,0,1
63327,2025-10-30T17:05:30Z,7,4,28,1
63326,2025-10-30T16:22:21Z,58,0,0,1
63325,2025-10-30T16:20:58Z,337,0,0,1
63324,2025-10-30T15:44:12Z,50,0,0,1
63322,2025-10-30T15:35:29Z,51,0,85,1
63321,2025-10-30T14:02:10Z,205,0,0,1
63320,2025-10-30T12:16:51Z,45,0,0,1
63319,2025-10-30T10:47:25Z,,,,0
63318,2025-10-30T10:40:57Z,95,0,34,1
63317,2025-10-30T10:17:33Z,26,53,0,1
63316,2025-10-30T08:24:30Z,1582,0,0,1
63315,2025-10-30T08:07:49Z,2185,0,12,1
63314,2025-10-30T08:03:27Z,5795,0,0,1
63313,2025-10-30T06:02:46Z,,,,0
63312,2025-10-29T20:57:57Z,,,,0
63311,2025-10-29T20:50:45Z,749,0,37,1
63310,2025-10-29T20:49:21Z,759,0,106,1
63308,2025-10-29T20:48:02Z,799,0,63,1
63306,2025-10-29T20:46:35Z,799,0,76,1
63304,2025-10-29T20:44:57Z,800,0,44,1
63302,2025-10-29T20:43:22Z,800,0,76,1
63300,2025-10-29T20:41:31Z,800,0,52,1
63297,2025-10-29T20:34:52Z,806,0,56,1
63296,2025-10-29T20:32:38Z,806,0,42,1
63294,2025-10-29T20:30:28Z,824,0,75,1
63291,2025-10-29T20:27:11Z,9,0,45,1
63290,2025-10-29T20:26:09Z,811,0,50,1
63288,2025-10-29T20:20:11Z,812,0,88,1
63287,2025-10-29T20:18:43Z,812,0,74,1
63286,2025-10-29T20:17:11Z,812,0,72,1
63284,2025-10-29T20:15:36Z,812,0,89,1
63282,2025-10-29T20:14:07Z,812,0,83,1
63279,2025-10-29T20:11:12Z,815,0,63,1
63276,2025-10-29T19:58:26Z,5,0,1253,1
63275,2025-10-29T19:57:54Z,,,,0
63274,2025-10-29T19:53:16Z,832,0,38,1
63273,2025-10-29T19:51:08Z,815,0,0,1
63270,2025-10-29T19:44:43Z,839,0,57,1
63268,2025-10-29T19:35:00Z,847,0,53,1
63267,2025-10-29T19:33:33Z,881,0,0,1
63264,2025-10-29T19:23:41Z,892,0,0,1
63263,2025-10-29T19:21:35Z,351,0,95,1
63262,2025-10-29T19:19:54Z,352,0,99,1
63257,2025-10-29T18:49:15Z,8,0,24,1
63255,2025-10-29T18:45:59Z,6,0,24,1
63253,2025-10-29T18:38:07Z,11,0,19,1
63251,2025-10-29T18:05:00Z,46,0,0,1
63250,2025-10-29T17:30:34Z,30,0,18,1
63248,2025-10-29T17:27:33Z,40,0,10,1
63246,2025-10-29T17:24:04Z,66,0,0,1
63245,2025-10-29T17:22:39Z,61,0,0,1
63242,2025-10-29T17:18:16Z,65,0,0,1
63241,2025-10-29T17:16:35Z,65,0,0,1
63239,2025-10-29T17:14:45Z,66,0,0,1
63236,2025-10-29T17:10:44Z,69,0,0,1
63234,2025-10-29T17:08:01Z,71,0,0,1
63233,2025-10-29T17:06:05Z,71,0,0,1
63230,2025-10-29T17:04:00Z,71,0,0,1
63229,2025-10-29T17:02:21Z,72,0,0,1
63228,2025-10-29T17:00:49Z,72,0,0,1
63227,2025-10-29T16:59:19Z,70,0,0,1
63222,2025-10-29T16:42:59Z,29,0,1,1
63220,2025-10-29T12:27:34Z,16,0,14,1
63219,2025-10-29T12:24:44Z,13,0,32,1
63218,2025-10-29T12:00:38Z,,,,0
63217,2025-10-29T11:50:35Z,19,,,0
63216,2025-10-29T11:42:23Z,,,,0
63213,2025-10-28T22:36:02Z,4,0,26,1
63212,2025-10-28T22:32:53Z,275,0,0,1
63211,2025-10-28T22:00:40Z,19,,,0
